,Belief,Entropy,Overall Cost,Overall Success,Overall Reward,Precision,Recall
1,0.3,2.0,15.48,0.58,84.52,0.5434782608695652,1.0
2,0.3,3.0,16.43,0.58,71.57,0.5777777777777777,1.0
3,0.3,4.0,17.67,0.58,78.33,0.5652173913043478,1.0
4,0.3,5.0,16.78,0.6,79.22,0.5476190476190477,1.0
5,0.3,6.0,17.73,0.48,78.27,0.40476190476190477,0.9444444444444444
6,0.3,7.0,15.38,0.64,80.62,0.5714285714285714,1.0
7,0.3,8.0,16.22,0.68,71.78,0.6744186046511628,1.0
8,0.4,2.0,17.08,0.5,78.92,0.45652173913043476,1.0
9,0.4,3.0,19.15,0.56,68.85,0.5581395348837209,0.96
10,0.4,4.0,21.0,0.62,71.0,0.5813953488372093,1.0
11,0.4,5.0,18.53,0.76,69.47,0.7352941176470589,1.0
12,0.4,6.0,19.01,0.8,76.99,0.7428571428571429,0.9629629629629629
13,0.4,7.0,20.0,0.84,80.0,0.7647058823529411,1.0
14,0.4,8.0,19.88,0.78,72.12,0.7222222222222222,1.0
15,0.5,2.0,17.36,0.52,82.64,0.45454545454545453,1.0
16,0.5,3.0,19.61,0.58,68.39,0.5681818181818182,1.0
17,0.5,4.0,21.01,0.6,78.99,0.5348837209302325,1.0
18,0.5,5.0,19.57,0.64,72.43,0.5277777777777778,1.0
19,0.5,6.0,19.73,0.78,64.27,0.7777777777777778,0.9655172413793104
20,0.5,7.0,21.7,0.86,74.3,0.85,1.0
21,0.5,8.0,18.41,0.88,81.59,0.7777777777777778,1.0
22,0.6,2.0,17.7,0.6,82.3,0.574468085106383,1.0
23,0.6,3.0,17.5,0.7,78.5,0.6410256410256411,1.0
24,0.6,4.0,21.22,0.54,70.78,0.4888888888888889,1.0
25,0.6,5.0,17.83,0.86,70.17,0.8620689655172413,1.0
26,0.6,6.0,20.02,0.76,79.98,0.6571428571428571,1.0
27,0.6,7.0,19.95,0.8,80.05,0.696969696969697,1.0
28,0.6,8.0,22.26,0.86,69.74,0.84375,0.9642857142857143
29,0.7,2.0,18.79,0.54,73.21,0.5111111111111111,1.0
30,0.7,3.0,18.83,0.7,77.17,0.6585365853658537,1.0
31,0.7,4.0,19.14,0.7,80.86,0.6341463414634146,1.0
32,0.7,5.0,20.03,0.72,71.97,0.6388888888888888,1.0
33,0.7,6.0,20.98,0.78,79.02,0.7105263157894737,1.0
34,0.7,7.0,19.46,0.78,68.54,0.7333333333333333,0.88
35,0.7,8.0,20.42,0.8,71.58,0.75,0.96
36,0.8,2.0,17.5,0.52,78.5,0.4888888888888889,1.0
37,0.8,3.0,19.88,0.74,76.12,0.7142857142857143,1.0
38,0.8,4.0,18.98,0.7,77.02,0.6585365853658537,1.0
39,0.8,5.0,19.05,0.7,72.95,0.6486486486486487,0.96
40,0.8,6.0,19.09,0.86,76.91,0.8064516129032258,0.9615384615384616
41,0.8,7.0,19.35,0.86,72.65,0.8214285714285714,0.9583333333333334
42,0.8,8.0,20.39,0.82,59.61,0.8076923076923077,0.84
43,0.9,2.0,18.1,0.5,69.9,0.45,0.9473684210526315
44,0.9,3.0,18.64,0.6,77.36,0.47368421052631576,1.0
45,0.9,4.0,18.79,0.62,73.21,0.5952380952380952,1.0
46,0.9,5.0,21.04,0.7,74.96,0.6666666666666666,1.0
47,0.9,6.0,18.66,0.7,73.34,0.5806451612903226,0.9473684210526315
48,0.9,7.0,19.17,0.88,76.83,0.84375,0.9642857142857143
49,0.9,8.0,22.17,0.82,73.83,0.7647058823529411,1.0
